id,definition,duration,publishedAt,channelId,channelTitle,snippet.thumbnails.default.url,snippet.title,statistics.commentCount,statistics.dislikeCount,likeCount,statistics.viewCount,Channel_country,channel_description,channel_localized.description,channel_localized.title,channel_publishedAt,channel_thumbnails.default.url,channel_title,channel_commentCount,channel_subscriberCount,channel_videoCount,channel_viewCount
z9iAOaf-LNw,hd,PT4M23S,2017-03-17T13:14:04.000Z,UComd_0nqtWNfo8-t9PLvZyQ,amit kumar,https://i.ytimg.com/vi/z9iAOaf-LNw/default.jpg,How to gain muscle fast | bodybuilding muscle gain diet tips | Hindi |,165,217,5711,208246,IN,"Any one who is new and who wants to know something regarding how to start the channel or any other quiries, so please dont hesitate to ask me on comments or facebook page. i will help you to start your channel. this channel is also for those people who wants offers on supplements.","Any one who is new and who wants to know something regarding how to start the channel or any other quiries, so please dont hesitate to ask me on comments or facebook page. i will help you to start your channel. this channel is also for those people who wants offers on supplements.",amit kumar,2009-08-14T18:35:14.000Z,https://yt3.ggpht.com/-42eoiowdmMA/AAAAAAAAAAI/AAAAAAAAAAA/5dzK-kjzMvI/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,amit kumar,0,50237,52,4220148
2EwiPCVMxYg,hd,PT18M17S,2017-01-14T00:30:00.000Z,UCAB2209GM5a0RpQ_57Q2pNA,Bodybuilding Fan,https://i.ytimg.com/vi/2EwiPCVMxYg/default.jpg,INDIAN BODYBUILDERS @ IBBF BODYPOWER CLASSIC 2017 !,16,14,171,40011,0,"Bodybuilding and Fitness Related Videos ! 

Please show your support, hit Subscribe!
Watch and enjoy!","Bodybuilding and Fitness Related Videos ! 

Please show your support, hit Subscribe!
Watch and enjoy!",Bodybuilding Fan,2015-03-06T06:00:53.000Z,https://yt3.ggpht.com/-KaRCgXjGrgM/AAAAAAAAAAI/AAAAAAAAAAA/TqhBhcFo4ls/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Bodybuilding Fan,0,35283,183,17302806
XPwVxf-TKec,sd,PT7M28S,2017-02-21T02:00:52.000Z,UCnhiu3auDOyRfueiYPDqkBw,Frringo,https://i.ytimg.com/vi/XPwVxf-TKec/default.jpg,भारत की 10 महिला बॉडी बिल्डर | Top 10 Female Bodybuilders In India ( Hindi ),32,175,1031,343078,IN,"Welcome to Frringo.This Channel is related to Travel,Food,Health tips, Interesting Facts & top 10 things around the world.If you are a adventurer and Entertainment lover join our community.
We connect people with Lifestyle.
We aware you about  various destinations,foods,facts around the world under one roof. So its time to know Our world With A new Aspect and know more about various people travel spots various trends relating to Lifestyle and all round entertainment. Around the World.


★Schedule
We upload Two videos every week so stay tuned and subscribe us!


★Suggest videos
You can suggest us videos on our YouTube channel or by posting a comment in our videos comment box!


★Help us grow
We are always making improvements to our channel and NOW you can help us by sharing the videos that you like with your friends, family and colleagues!

This Content is Written, Edited and given Voice-Over by Utkarsh Katyayan.

SUBSCRIBE US and get a Step closer to fun while knowing about the world","Welcome to Frringo.This Channel is related to Travel,Food,Health tips, Interesting Facts & top 10 things around the world.If you are a adventurer and Entertainment lover join our community.
We connect people with Lifestyle.
We aware you about  various destinations,foods,facts around the world under one roof. So its time to know Our world With A new Aspect and know more about various people travel spots various trends relating to Lifestyle and all round entertainment. Around the World.


★Schedule
We upload Two videos every week so stay tuned and subscribe us!


★Suggest videos
You can suggest us videos on our YouTube channel or by posting a comment in our videos comment box!


★Help us grow
We are always making improvements to our channel and NOW you can help us by sharing the videos that you like with your friends, family and colleagues!

This Content is Written, Edited and given Voice-Over by Utkarsh Katyayan.

SUBSCRIBE US and get a Step closer to fun while knowing about the world",Frringo,2016-05-28T04:35:24.000Z,https://yt3.ggpht.com/-1sVx6eiL3Mo/AAAAAAAAAAI/AAAAAAAAAAA/UTLYIxPnPIg/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Frringo,0,84051,36,17649411
d4EE1ZOaEeQ,hd,PT3M40S,2017-05-11T20:39:01.000Z,UCZG4svrVuICVjTfWrwmwRKg,B Motivation,https://i.ytimg.com/vi/d4EE1ZOaEeQ/default.jpg,Motivação Bodybuilding - JORNADA,141,27,2773,29328,BR,"Canal motivacional de musculação - Vídeos profissionais em HD - ""Acredite em si próprio e chegará um dia em que os outros não terão outra escolha senão acreditar com você.""

CONTATO para edição de vídeo: leonardosevenhd@hotmail.com","Canal motivacional de musculação - Vídeos profissionais em HD - ""Acredite em si próprio e chegará um dia em que os outros não terão outra escolha senão acreditar com você.""

CONTATO para edição de vídeo: leonardosevenhd@hotmail.com",B Motivation,2012-07-15T22:45:03.000Z,https://yt3.ggpht.com/-WC1vu2F6_gU/AAAAAAAAAAI/AAAAAAAAAAA/evLfhPPtS7g/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,B Motivation,0,104873,38,12075627
AC6IeHsalvQ,hd,PT2M5S,2017-05-14T06:00:00.000Z,UCFMFYU4YCZ0X0oft8AawOcg,Williams Fitness,https://i.ytimg.com/vi/AC6IeHsalvQ/default.jpg,Arnold Pays The Ultimate Price For Bodybuilding,19,54,101,32616,GB,"""Home Of The Gainz""  
 - 💥 Motivation an Inspiration 💥
 🏆Home of The Gainz🏆 
👊Then & Now Series 👊
Contact Info:
For business enquiries Email : Enquiries@williamsfitness.co.uk","""Home Of The Gainz""  
 - 💥 Motivation an Inspiration 💥
 🏆Home of The Gainz🏆 
👊Then & Now Series 👊
Contact Info:
For business enquiries Email : Enquiries@williamsfitness.co.uk",Williams Fitness,2016-02-28T15:55:57.000Z,https://yt3.ggpht.com/-EZgwlml4ntI/AAAAAAAAAAI/AAAAAAAAAAA/vJANFL3gwjI/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Williams Fitness,0,16177,343,9210263
FJ2jCidnFqY,hd,PT7M14S,2017-01-02T21:50:05.000Z,UC9VXzLGa00k0GhyI-dCHORw,Dominick Lefebvre,https://i.ytimg.com/vi/FJ2jCidnFqY/default.jpg,Break Up and Heartbroken | Bodybuilding Fitness Motivation! (Stay Strong) Ft. HodgeTwins,180,68,3347,124495,CA,"Dominick Lefebvre 
Hi I'm currently 16 years old and I love to train! This channel will be mostly Fitness Videos. 
Vlogs, tutorials on certain Exercises and much more! 
Make sure to stay connected and follow my social medias to never miss an upload!
#Visionary","Dominick Lefebvre 
Hi I'm currently 16 years old and I love to train! This channel will be mostly Fitness Videos. 
Vlogs, tutorials on certain Exercises and much more! 
Make sure to stay connected and follow my social medias to never miss an upload!
#Visionary",Dominick Lefebvre,2016-03-31T00:59:15.000Z,https://yt3.ggpht.com/-fcJ8wsNkb0o/AAAAAAAAAAI/AAAAAAAAAAA/oGEaMpuQtr0/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Dominick Lefebvre,0,493,6,128822
PfAAU3hVu5U,hd,PT6M27S,2017-03-03T04:00:01.000Z,UCU3juAek2IQClkV7eUw-a2w,MY BOLLYWOOD BODY,https://i.ytimg.com/vi/PfAAU3hVu5U/default.jpg,| DAY 2 | Bodybuilding for BEGINNERS! (Hindi / Punjabi),90,26,1032,52364,CA,"""I just want a perfect body"" Doesn't this sound familiar?.... BEEN THERE, DONE THAT!  

Subscribe to our channel for tips on workouts, nutrition, supplements and bodybuilding.

Follow us, and we will get you in your dream body  !! Sachi Muchi !!","""I just want a perfect body"" Doesn't this sound familiar?.... BEEN THERE, DONE THAT!  

Subscribe to our channel for tips on workouts, nutrition, supplements and bodybuilding.

Follow us, and we will get you in your dream body  !! Sachi Muchi !!",MY BOLLYWOOD BODY,2015-04-18T02:42:32.000Z,https://yt3.ggpht.com/-qeeL2Nenof8/AAAAAAAAAAI/AAAAAAAAAAA/L4tKep5h7eY/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,MY BOLLYWOOD BODY,0,538295,297,41499525
ZoOZcZv-Q1E,hd,PT4M57S,2017-03-01T17:36:06.000Z,UCHpu91a19yyLzqgO9DwdMIQ,BodybuildingPro,https://i.ytimg.com/vi/ZoOZcZv-Q1E/default.jpg,TOP 4 Egyptian Bodybuilders Of All Time,120,120,966,212451,0,Amazing bodybuilding channel!,Amazing bodybuilding channel!,BodybuildingPro,2016-01-21T17:02:32.000Z,https://yt3.ggpht.com/-S_k6u7EyCoc/AAAAAAAAAAI/AAAAAAAAAAA/-RCzYmqxr-A/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,BodybuildingPro,0,177941,114,108500096
wVW88PQGVBQ,hd,PT4M6S,2017-04-30T16:37:30.000Z,UClOLJaDx4UT24h9x0UJ3b9w,JerichoDMZ,https://i.ytimg.com/vi/wVW88PQGVBQ/default.jpg,Bodybuilding motivation - OPPORTUNITY,62,49,1368,100043,CZ,"Bodybuilding motivation! Professional videos every week!
""If it is important to you, you will find a way. If not, you'll find an excuse."" 
#Bodybuilding
CONTACT for video editing: productionjericho@gmail.com","Bodybuilding motivation! Professional videos every week!
""If it is important to you, you will find a way. If not, you'll find an excuse."" 
#Bodybuilding
CONTACT for video editing: productionjericho@gmail.com",JerichoDMZ,2014-04-03T18:10:53.000Z,https://yt3.ggpht.com/-VKu7JzmuOCM/AAAAAAAAAAI/AAAAAAAAAAA/_B-f3KCjwN8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,JerichoDMZ,0,121519,179,42291001
8vlhv8fOt28,hd,PT6M37S,2017-03-07T15:39:08.000Z,UCHpu91a19yyLzqgO9DwdMIQ,BodybuildingPro,https://i.ytimg.com/vi/8vlhv8fOt28/default.jpg,5 Mass Monsters in Bodybuilding - THEN and NOW,822,811,4440,1225471,0,Amazing bodybuilding channel!,Amazing bodybuilding channel!,BodybuildingPro,2016-01-21T17:02:32.000Z,https://yt3.ggpht.com/-S_k6u7EyCoc/AAAAAAAAAAI/AAAAAAAAAAA/-RCzYmqxr-A/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,BodybuildingPro,0,177941,114,108500096
FsUDL6qqHBw,hd,PT23M39S,2017-03-21T11:19:38.000Z,UCU5pQWmxvxqRP5u-SdoV8rQ,Movie Talkies,https://i.ytimg.com/vi/FsUDL6qqHBw/default.jpg,"All Bollywood Celebs Gym Bodybuilding Workout Videos - Salman Khan,John Abraham,Deepika,Shahid,Alia",79,1060,3849,1447818,IN,"The Official You Tube Channel of Movie Talkies - Its All about Movies. Get latest videos on your favourite Bollywood Celebs and catch them on all the events around you. 
Subscribe us to get more gossip and news about your Bollywood star","The Official You Tube Channel of Movie Talkies - Its All about Movies. Get latest videos on your favourite Bollywood Celebs and catch them on all the events around you. 
Subscribe us to get more gossip and news about your Bollywood star",Movie Talkies,2008-12-10T11:08:46.000Z,https://yt3.ggpht.com/-JlSkl61eTAA/AAAAAAAAAAI/AAAAAAAAAAA/9GIVwnEyVH8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Movie Talkies,48,0,13893,1267518306
zMjZJafVrp0,hd,PT10M9S,2017-03-09T00:23:55.000Z,UC2ET72NzUh_VZOTeTybs3wA,A Bit of Everything,https://i.ytimg.com/vi/zMjZJafVrp0/default.jpg,Bodybuilders Most Funny Moments,389,2170,2795,1774217,RS,"For business: 
BEST COMPILATION
A Bit of Everything

Subscribe

1 000             ✓ 
2 500             ✓ 
5 000             ✓ 
10 000            ✓ 
25 000           ✓ 
50 000            
100 000  
500 000
1 000 000","For business: 
BEST COMPILATION
A Bit of Everything

Subscribe

1 000             ✓ 
2 500             ✓ 
5 000             ✓ 
10 000            ✓ 
25 000           ✓ 
50 000            
100 000  
500 000
1 000 000",A Bit of Everything,2014-02-25T21:39:55.000Z,https://yt3.ggpht.com/-jcqeyAGLQHs/AAAAAAAAAAI/AAAAAAAAAAA/SkjuQI1GHro/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,A Bit of Everything,0,27705,136,34259629
fmmpDO5FjOc,hd,PT19M4S,2017-01-31T20:01:35.000Z,UCC4WLzWfGgfDUXX-3hvmIgQ,LIVE FIT Motivation,https://i.ytimg.com/vi/fmmpDO5FjOc/default.jpg,Top 10 Old School Classic Bodybuilders | Bodybuilding Motivation,28,12,405,27295,0,"Hello, We are LIVE FIT Motivation. We promote AESTHETICS, The perfect Symmetry.and Proportion.
The Best Aesthetic Fitness & Bodybuilding Motivation Channel.
SUBSCRIBE.
We promote QUALITY over QUANTITY. 

For business inquiry or for a collaboration project, please contact me at my email. 

Disclaimer: We don't hold any copyright over the songs or footages. All credit goes to the respective owner/creator of the song/footages. If you have any issues with it, please feel free to contact me via YouTube or Facebook. If you have any legal claim of any of this footages or music, please email me and I will happily remove it.","Hello, We are LIVE FIT Motivation. We promote AESTHETICS, The perfect Symmetry.and Proportion.
The Best Aesthetic Fitness & Bodybuilding Motivation Channel.
SUBSCRIBE.
We promote QUALITY over QUANTITY. 

For business inquiry or for a collaboration project, please contact me at my email. 

Disclaimer: We don't hold any copyright over the songs or footages. All credit goes to the respective owner/creator of the song/footages. If you have any issues with it, please feel free to contact me via YouTube or Facebook. If you have any legal claim of any of this footages or music, please email me and I will happily remove it.",LIVE FIT Motivation,2016-10-23T12:33:54.000Z,https://yt3.ggpht.com/-2VFt1fp9ay4/AAAAAAAAAAI/AAAAAAAAAAA/zJm3EU5TI0w/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,LIVE FIT Motivation,0,20533,83,4364085
ZMnrlfFiyMc,hd,PT10M1S,2017-05-01T13:00:03.000Z,UCE-LXXVl3u9yJO3WRGTrEoA,Jon Venus,https://i.ytimg.com/vi/ZMnrlfFiyMc/default.jpg,BODYBUILDING & DIETING MADE ME FAT | DON'T DO THIS!!,825,398,5456,265376,0,"Welcome to Jon Venus' channel.
I'm a top fitness athlete and public figure who focuses on showing the world that it is possible to achieve greatness while starting from the bottom. This channel is focused on lifestyle, sharing my thoughts and tips to become the best version of yourself!
Enquiries e-mail: thequest4fitness@gmail.com","Welcome to Jon Venus' channel.
I'm a top fitness athlete and public figure who focuses on showing the world that it is possible to achieve greatness while starting from the bottom. This channel is focused on lifestyle, sharing my thoughts and tips to become the best version of yourself!
Enquiries e-mail: thequest4fitness@gmail.com",Jon Venus,2013-05-04T16:01:02.000Z,https://yt3.ggpht.com/-pie-pRJV8Uo/AAAAAAAAAAI/AAAAAAAAAAA/mZhDbjbAP6g/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Jon Venus,0,188108,283,15518064
NoRo3HwSe6I,hd,PT10M47S,2017-02-17T17:00:23.000Z,UCpWaR3gNAQGsX48cIlQC0qw,Tibo InShape,https://i.ytimg.com/vi/NoRo3HwSe6I/default.jpg,ENTRAINEMENT EXTREME AVEC UN BODYBUILDER !!,6758,2139,87902,2488876,0,"DAAMN ! Fun, Fitness, Petites, BOUUM ! 
Abonne-toi ! Nouvelle vidéo toutes les semaines !

FACEBOOK : https://www.facebook.com/tiboinshape
INSTAGRAM : @tiboinshape
TWITTER : https://twitter.com/TiboInShape
SNAPCHAT : tiboinshape

MAIL : (Business contact UNIQUEMENT) : tiboinshapevideo@gmail.com","DAAMN ! Fun, Fitness, Petites, BOUUM ! 
Abonne-toi ! Nouvelle vidéo toutes les semaines !

FACEBOOK : https://www.facebook.com/tiboinshape
INSTAGRAM : @tiboinshape
TWITTER : https://twitter.com/TiboInShape
SNAPCHAT : tiboinshape

MAIL : (Business contact UNIQUEMENT) : tiboinshapevideo@gmail.com",Tibo InShape,2008-08-15T07:35:10.000Z,https://yt3.ggpht.com/-Zbx5nbYMCM8/AAAAAAAAAAI/AAAAAAAAAAA/YZ4Lebmnjz0/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Tibo InShape,6,3156389,395,583952937
QuppZMU6czc,hd,PT5M33S,2017-02-23T16:27:35.000Z,UCHpu91a19yyLzqgO9DwdMIQ,BodybuildingPro,https://i.ytimg.com/vi/QuppZMU6czc/default.jpg,TOP 5 Korean Bodybuilder Ever,689,765,4752,1586228,0,Amazing bodybuilding channel!,Amazing bodybuilding channel!,BodybuildingPro,2016-01-21T17:02:32.000Z,https://yt3.ggpht.com/-S_k6u7EyCoc/AAAAAAAAAAI/AAAAAAAAAAA/-RCzYmqxr-A/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,BodybuildingPro,0,177941,114,108500096
TQQNIgxf_po,hd,PT1M47S,2017-03-15T22:00:02.000Z,UCFMFYU4YCZ0X0oft8AawOcg,Williams Fitness,https://i.ytimg.com/vi/TQQNIgxf_po/default.jpg,Russian Angelina Jolie of Bodybuilding?!,134,238,817,283261,GB,"""Home Of The Gainz""  
 - 💥 Motivation an Inspiration 💥
 🏆Home of The Gainz🏆 
👊Then & Now Series 👊
Contact Info:
For business enquiries Email : Enquiries@williamsfitness.co.uk","""Home Of The Gainz""  
 - 💥 Motivation an Inspiration 💥
 🏆Home of The Gainz🏆 
👊Then & Now Series 👊
Contact Info:
For business enquiries Email : Enquiries@williamsfitness.co.uk",Williams Fitness,2016-02-28T15:55:57.000Z,https://yt3.ggpht.com/-EZgwlml4ntI/AAAAAAAAAAI/AAAAAAAAAAA/vJANFL3gwjI/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,Williams Fitness,0,16177,343,9210263
g7txxuZADRQ,hd,PT5M28S,2017-02-10T22:07:02.000Z,UCmjqAKsCe-kpngstnPnImXw,World Aesthetics,https://i.ytimg.com/vi/g7txxuZADRQ/default.jpg,SICK Bodybuilding Motivation speech 2017,5,14,211,32452,SE,0,0,World Aesthetics,2013-08-24T19:28:16.000Z,https://yt3.ggpht.com/-1HikbUpR7Xg/AAAAAAAAAAI/AAAAAAAAAAA/V5YJpZVkVs0/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,World Aesthetics,0,897,27,123908
UCyQ5-0zz98,hd,PT3M5S,2017-05-08T12:05:08.000Z,UC_ArBsYspQEQeCZEtHCCXVg,slavvs,https://i.ytimg.com/vi/UCyQ5-0zz98/default.jpg,Aesthetic Bodybuilding Motivation 2017 - DOMINATE,7,9,206,12348,BG,Email : slavvslavov@gmail.com,Email : slavvslavov@gmail.com,slavvs,2010-05-31T14:36:45.000Z,https://yt3.ggpht.com/-t185UXAY9Lg/AAAAAAAAAAI/AAAAAAAAAAA/-huCl-1J-A8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,slavvs,8,76092,66,33030073
